sampleId,COMID,Lat,Long,pct_NP25km,reference,mEPTR_f,mEPTR_nf,mIR_f,mIR_nf,mMMI_rr_nf,mMMI_rr_f,mMMI_trad_nf,mMMI_trad_f,OoverE_trad0_nf,OoverE_trad0_f,OoverE_trad5_f,OoverE_trad5_nf,OoverE_rra_nf,OoverE_rra_f,OoverE_rrb_nf,OoverE_rrb_f,OoverE_rrb_armor_f,OoverE_rrb_crawl_f,OoverE__rrb_desication_f,OoverE__rrb_dispersal_f,OoverE__rrb_flystrength_f,OoverE__rrb_lifespan_f,OoverE__rrb_maxsize_f,OoverE__rrb_respire_f,OoverE__rrb_rheo_f,OoverE__rrb_swim_f,OoverE__rrb_drift_f,OoverE__rrb_emergence_f,OoverE__rrb_thermal_f,OoverE__rrb_voltinism_f,OoverE__rrb_armor,OoverE__rrb_crawl,OoverE__rrb_desication,OoverE__rrb_dispersal,OoverE__rrb_flystrength,OoverE__rrb_lifespan,OoverE__rrb_maxsize,OoverE__rrb_respire,OoverE__rrb_rheo,OoverE__rrb_swim,OoverE__rrb_drift,OoverE__rrb_emergence,OoverE__rrb_thermal,OoverE__rrb_voltinism,OoverE_dendrogram_group
164710,3272690,37.85783858,-109.325559,85.38968478,N,0.238800267,0.234586831,0.411894483,0.382210643,0.431057255,0.526917566,0.48108993,0.535682893,0.714520894,0.710352606,0.892573899,0.967413861,1.128794424,1.138714785,1.032762552,1.044860732,1.088484118,1.095350257,0.166216246,1.100362508,0.083247028,0.767331168,0.863708859,0.884290354,2.255256111,0.516279896,1.209488896,1.763334698,1.520357827,1.314342279,1.088879335,1.104135669,0.157369209,1.05432656,0.081880814,0.766779082,0.858006075,0.885993148,2.217607688,0.527225676,1.191065516,1.727569595,1.490323371,1.307513984,NA
169053,3379027,38.56919453,-109.5290961,73.99651333,N,0.509402725,0.483603166,0.63936725,0.778221352,1.141758974,1.048037057,1.116281047,1.047802824,0.747242122,0.721672865,0.957546377,0.959252057,1.048631504,1.06118652,1.13539848,1.111775659,1.342142612,1.206868226,2.049061999,1.60644793,0.836077589,0.992277603,0.900415402,0.766920548,1.075152746,0.793063241,1.072074592,0.806331681,1.156517644,0.961507419,1.414221085,1.207869658,2.452847284,1.534737949,0.825306015,1.012978146,0.988123109,0.780900866,0.998555632,0.782169906,1.031573271,0.776505473,1.130307015,0.959483307,NA
171626,10682714,39.69996582,-113.7159893,91.02765727,Y,1.295234908,1.171856327,1.325342069,1.294056988,1.191491773,1.251803167,1.121517103,1.172914568,1.067885395,1.059973984,0.970202634,0.975394702,1.010212702,0.911537692,1.068266975,0.986731597,1.219605243,1.349380063,0.155008439,1.08056392,2.080595038,1.380916202,0.798968957,1.063453343,0.739476285,1.422149031,0.904503502,0.356631006,0.567071887,0.695919435,1.113118088,1.327469484,0.224261261,1.598543607,2.348115245,1.30169783,0.862776829,0.99515496,0.890062306,1.218630601,1.163117739,0.454090135,0.702897414,0.755802153,5
172213,2495606,40.49371292,-122.4425693,72.90488274,N,0.497685761,0.46035629,0.572302013,0.523815604,0.717647031,0.783674772,0.731291851,0.764758745,0.580838016,0.620470315,0.954440588,0.846149267,1.148388278,1.110578011,1.173353378,1.127284721,1.506095351,1.070429549,0.138485995,1.735079082,2.596327138,1.518782146,0.90940996,1.045028081,0.72100739,0.605797847,1.334828369,0.573737574,1.092381732,0.934595882,1.503390972,1.022221166,0.163559337,1.914769537,2.721950042,1.519057886,0.948778506,1.058405678,0.786591705,0.544005436,1.46713202,0.638616891,1.178118928,0.960349193,NA
183241,20735503,36.1117883,-112.0889186,97.31786566,Y,0.747505708,0.668906366,0.624564497,0.601380468,0.69220058,0.824052551,0.742153805,0.812032208,0.441701468,0.454925473,1.00899553,0.991143049,0.926688207,0.962126356,0.918653315,0.958064704,0.644922232,1.375226771,0.103795271,1.182908812,2.190912644,1.262449833,0.655997359,0.775006498,0.700522151,0.065015602,1.505171991,1.121820613,0.980609223,0.84854685,0.79754872,1.381925455,0.17397521,0.989431822,2.013938036,1.336986,0.646918206,0.84094025,0.540689649,0.061633121,1.326856905,1.005313711,0.898569835,0.846419489,8
183245,20719582,36.0967878,-112.2114219,96.72464297,Y,1.053056136,0.923462462,0.886321986,0.91766897,0.664663488,0.735452474,0.678357549,0.727492912,1.208836937,1.192486501,1.276540184,1.283463783,0.980707251,0.976004591,0.940998224,0.907902984,0.861973095,1.071457324,0.115107384,1.139930664,0.786616811,0.663765608,0.942399233,1.088198666,1.452542038,0.739010307,0.990694946,0.729141084,1.094726029,1.035078584,0.849825948,1.078141662,0.102622035,1.16825256,0.766297464,0.649734453,1.245230152,1.071883811,1.574891028,0.786384143,1.004597015,0.753110431,1.093998737,1.0290057,4
183248,20716600,36.0176239,-113.3578494,99.93235188,Y,0.780366566,0.526813684,1.22295746,1.044761842,1.201625712,1.233781481,1.159801692,1.194688221,1.026757117,1.041255241,0.149007629,0.137574959,0.964342826,0.936782148,0.904679375,0.847182606,0.780789072,1.04116249,0.183338768,0.499189511,0.573220711,0.70752952,1.013906474,0.98355025,1.353953924,0.793108377,0.661276246,1.196208049,1.093016146,0.980306941,0.696583692,1.042761112,0.118649004,0.561711821,0.571553042,0.663805131,1.362807452,0.930194345,1.679645124,0.867977451,0.72012417,1.32711121,1.143922298,0.978665399,4
183323,21389078,34.3761389,-113.2710278,97.81948339,Y,1.148111686,0.932017888,1.650731185,1.330574254,0.762857832,0.800288483,0.789847237,0.811857627,1.337604928,1.376517164,0.963107846,0.954316646,0.860841455,0.871290265,0.788327457,0.777363969,1.135716729,0.479552079,0.167863885,1.464110722,0.56911634,0.863361672,1.121154479,0.677942271,0.903757174,0.559395151,0.456328061,0.505655468,1.070297792,0.908843746,1.265726314,0.480252973,0.220919199,1.381817744,0.539634255,0.875723881,1.295497986,0.70136328,0.848405268,0.557038099,0.437229248,0.492581997,1.033389384,0.907004767,8
183324,21389000,34.4002214,-113.1740139,98.21812205,Y,1.079873126,0.894928737,0.897007723,0.857173635,1.137102338,1.178253935,1.106537827,1.137246727,1.239884504,1.247661208,0.933923231,0.859900137,0.95943741,0.964178035,1.139899189,1.092997731,1.536978812,1.107778144,2.651452319,0.829487971,0.633091635,1.451186661,1.01977898,1.036872668,0.991292679,0.943457497,0.758730585,0.578185262,1.006576671,0.757098343,1.613773723,1.112668927,2.991398775,0.811040143,0.622194889,1.46266619,1.314963965,1.049564191,0.967734327,0.947070854,0.745267518,0.572728247,0.991680219,0.755836678,8
183325,21402007,34.9871214,-113.5217297,97.12020478,Y,0.797290545,0.817871368,0.824185791,0.793386154,0.820296888,0.834713423,0.79008141,0.804544514,0.879556495,0.881955351,1.046672113,1.040954737,0.996512909,1.002880823,0.985690395,0.964600127,0.674626467,1.211254153,0.2510079,1.032899248,1.49282813,1.048668618,0.957485364,0.81926747,1.061508204,1.163533682,1.094672856,0.719103325,1.137036373,0.840509991,0.702396714,1.21402138,0.279942784,1.006786034,1.469345117,1.056639897,1.297636058,0.830538339,1.034189628,1.164574071,1.075661614,0.708958385,1.120148608,0.838826902,8
